Day,variable,value,type
1,T10,0,zebras attached
2,T10,2,zebras attached
3,T10,4,zebras attached
4,T10,5,zebras attached
5,T10,5,zebras attached
6,T10,5,zebras attached
7,T10,5,zebras attached
8,T10,4,zebras attached
9,T10,4,zebras attached
10,T10,1,zebras attached
11,T10,2,zebras attached
12,T10,1,zebras attached
13,T10,2,zebras attached
14,T10,3,zebras attached
15,T10,2,zebras attached
16,T10,4,zebras attached
17,T10,5,zebras attached
18,T10,5,zebras attached
19,T10,5,zebras attached
20,T10,5,zebras attached
21,T10,5,zebras attached
22,T10,5,zebras attached
23,T10,5,zebras attached
24,T10,5,zebras attached
25,T10,5,zebras attached
26,T10,5,zebras attached
27,T10,5,zebras attached
28,T10,5,zebras attached
29,T10,4,zebras attached
30,T10,5,zebras attached
1,T11,0,zebras attached
2,T11,0,zebras attached
3,T11,2,zebras attached
4,T11,2,zebras attached
5,T11,2,zebras attached
6,T11,3,zebras attached
7,T11,5,zebras attached
8,T11,5,zebras attached
9,T11,5,zebras attached
10,T11,5,zebras attached
11,T11,4,zebras attached
12,T11,4,zebras attached
13,T11,3,zebras attached
14,T11,4,zebras attached
15,T11,3,zebras attached
16,T11,4,zebras attached
17,T11,5,zebras attached
18,T11,5,zebras attached
19,T11,5,zebras attached
20,T11,5,zebras attached
21,T11,4,zebras attached
22,T11,5,zebras attached
23,T11,5,zebras attached
24,T11,5,zebras attached
25,T11,5,zebras attached
26,T11,4,zebras attached
27,T11,4,zebras attached
28,T11,4,zebras attached
29,T11,5,zebras attached
30,T11,5,zebras attached
1,T12,0,zebras attached
2,T12,2,zebras attached
3,T12,3,zebras attached
4,T12,3,zebras attached
5,T12,4,zebras attached
6,T12,3,zebras attached
7,T12,4,zebras attached
8,T12,4,zebras attached
9,T12,4,zebras attached
10,T12,2,zebras attached
11,T12,2,zebras attached
12,T12,1,zebras attached
13,T12,5,zebras attached
14,T12,5,zebras attached
15,T12,5,zebras attached
16,T12,5,zebras attached
17,T12,5,zebras attached
18,T12,5,zebras attached
19,T12,5,zebras attached
20,T12,3,zebras attached
21,T12,4,zebras attached
22,T12,4,zebras attached
23,T12,5,zebras attached
24,T12,5,zebras attached
25,T12,5,zebras attached
26,T12,5,zebras attached
27,T12,5,zebras attached
28,T12,4,zebras attached
29,T12,4,zebras attached
30,T12,5,zebras attached
